gene_a	gene_b	n_cohorts_tested	n_significant_edges	n_positive_edges	n_negative_edges	median_rho	median_abs_rho	min_fdr	reproducible_edge	boundary
COL3A1	DCN	3	3	3	0	0.744769525714762	0.744769525714762	8.490892108586397e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
DCN	LAMA2	3	3	3	0	0.7416639874254277	0.7416639874254277	2.4990930557392044e-37	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	LAMA2	3	3	3	0	0.7406138165631835	0.7406138165631835	9.851003030507158e-60	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	FLNA	3	3	3	0	0.7396003762845472	0.7396003762845472	4.917090409047742e-37	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
THY1	TIMP1	3	3	3	0	0.7392480936784732	0.7392480936784732	1.9048378640684885e-31	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CFL1	PFN1	3	3	3	0	0.7351762161888743	0.7351762161888743	5.787370488283611e-71	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CDC42	SMAD2	3	3	3	0	0.7342411110016743	0.7342411110016743	9.607128198689511e-63	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
SMAD2	YAP1	3	3	3	0	0.7318567582652089	0.7318567582652089	3.2206058599475536e-50	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LUM	MMP2	3	3	3	0	0.7310031740411486	0.7310031740411486	1.0753826671656995e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A3	LAMA2	3	3	3	0	0.7303203125987935	0.7303203125987935	1.7841727932740744e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A2	LMNA	3	3	3	0	0.7286352145507073	0.7286352145507073	4.851180988324381e-37	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	THY1	3	3	3	0	0.7276141579939047	0.7276141579939047	1.7861232007927778e-41	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LAMA2	MMP2	3	3	3	0	0.7244780535919775	0.7244780535919775	1.7288351495993748e-43	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A3	SPARC	3	3	3	0	0.7239726598316244	0.7239726598316244	8.283865700613126e-35	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	TGFB1	3	3	3	0	0.7234191864473554	0.7234191864473554	1.7373958366174192e-40	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LATS1	TGFBR1	3	3	3	0	0.7207065235234249	0.7207065235234249	3.166792934926634e-36	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
SMAD2	SMAD4	3	3	3	0	0.7194322390121338	0.7194322390121338	3.3852778746798154e-34	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
WWTR1	YAP1	3	3	3	0	0.7187046761690422	0.7187046761690422	4.178489296212431e-34	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	COL6A3	3	3	3	0	0.7173965275231097	0.7173965275231097	7.740025151617374e-49	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	COL6A1	3	3	3	0	0.7145876424045438	0.7145876424045438	4.472791481973132e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ITGAV	LUM	3	3	3	0	0.713502185070077	0.713502185070077	2.01382030665665e-33	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	THY1	3	3	3	0	0.7110990275547237	0.7110990275547237	4.5008572281815746e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CDC42	RHOA	3	3	3	0	0.7103606487409303	0.7103606487409303	1.3883002703734317e-21	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MYL9	SPARC	3	3	3	0	0.7100115074798617	0.7100115074798617	3.756718122211467e-23	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CFL1	LMNA	3	3	3	0	0.708185593748974	0.708185593748974	6.133702277125658e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	SPARC	3	3	3	0	0.7074625799306969	0.7074625799306969	1.2542185626809297e-32	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
PTK2	ROCK1	3	3	3	0	0.7061801164576857	0.7061801164576857	1.815352345525471e-32	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ROCK1	SMAD2	3	3	3	0	0.7058792146820315	0.7058792146820315	1.6257192839539858e-36	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
DCN	TIMP2	3	3	3	0	0.7052820597124393	0.7052820597124393	8.146711749889425e-28	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	TLN1	3	3	3	0	0.7030803703338914	0.7030803703338914	4.466395181057695e-46	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ACTB	CFL1	3	3	3	0	0.7028721466080805	0.7028721466080805	4.7253494856671267e-32	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LAMA2	LUM	3	3	3	0	0.7024032305722445	0.7024032305722445	4.775626790006777e-31	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	FLNA	3	3	3	0	0.7011310285958172	0.7011310285958172	1.393748034073774e-41	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	THY1	3	3	3	0	0.6996421300218767	0.6996421300218767	4.494513288383199e-40	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	DCN	3	3	3	0	0.6970349730289714	0.6970349730289714	2.5344624655665737e-31	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ITGA1	LATS1	3	3	3	0	0.6963371795329785	0.6963371795329785	1.662356829408515e-31	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A3	MMP2	3	3	3	0	0.6941286561539725	0.6941286561539725	2.5033308841518276e-28	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LATS1	YAP1	3	3	3	0	0.6940518401786007	0.6940518401786007	3.166792934926634e-36	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
TIMP1	TIMP2	3	3	3	0	0.693799640386287	0.693799640386287	6.172801454598043e-31	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	ZYX	3	3	3	0	0.6931079483896385	0.6931079483896385	1.1055273576672207e-31	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
PFN1	RHOA	3	3	3	0	0.6928255873492182	0.6928255873492182	7.982234803884946e-31	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
JUNB	TIMP1	3	3	3	0	0.6915730982632391	0.6915730982632391	4.1987377988940897e-20	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	LAMA2	3	3	3	0	0.6911334976601292	0.6911334976601292	1.2727798996738446e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ROCK1	TGFBR1	3	3	3	0	0.6903378311829015	0.6903378311829015	3.616161344575889e-36	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A1	FLNA	3	3	3	0	0.6888329225163433	0.6888329225163433	2.339244320656534e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	LMNA	3	3	3	0	0.6887769561437977	0.6887769561437977	2.3640011535003803e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CDC42	ROCK1	3	3	3	0	0.688454256421248	0.688454256421248	2.5489226397897043e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	THBS1	3	3	3	0	0.6851236618678478	0.6851236618678478	6.306146198698267e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	FLNA	3	3	3	0	0.6839029515085853	0.6839029515085853	2.4540273262284448e-48	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	SPARC	3	3	3	0	0.6835459141797169	0.6835459141797169	1.669498431133071e-19	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ROCK1	YAP1	3	3	3	0	0.6835418103023736	0.6835418103023736	7.102023151409183e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	LUM	3	3	3	0	0.6833981745953576	0.6833981745953576	5.437315639400124e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A3	LUM	3	3	3	0	0.6831522907472273	0.6831522907472273	4.105405965677397e-29	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
SPARC	TIMP2	3	3	3	0	0.6831269995826956	0.6831269995826956	1.1850310965368191e-39	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MMP2	TIMP2	3	3	3	0	0.6830258349245689	0.6830258349245689	6.768983214936961e-28	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LATS1	SMAD2	3	3	3	0	0.6817799688017242	0.6817799688017242	1.517750189228573e-29	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
SPARC	THY1	3	3	3	0	0.6814118979611937	0.6814118979611937	1.4068279121014276e-22	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	FLNA	3	3	3	0	0.6808002124457818	0.6808002124457818	1.1185730539512008e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
THY1	TIMP2	3	3	3	0	0.6774364875630697	0.6774364875630697	1.8084654400008924e-23	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ITGAV	TGFBR1	3	3	3	0	0.6771582847532213	0.6771582847532213	1.904681068572279e-40	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	MMP2	3	3	3	0	0.6770987228733706	0.6770987228733706	3.9886411102955445e-40	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
PLOD2	ROCK2	3	3	3	0	0.6767144166994128	0.6767144166994128	5.750363704987908e-29	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A2	MYL9	3	3	3	0	0.6763214613177103	0.6763214613177103	6.331636537901148e-29	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MYL9	THY1	3	3	3	0	0.6762478028300811	0.6762478028300811	5.18112230435579e-20	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	TIMP2	3	3	3	0	0.6754200454875623	0.6754200454875623	7.986825505495143e-29	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A1	LMNA	3	3	3	0	0.6753200204813108	0.6753200204813108	8.166206413396137e-29	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MYL9	TIMP2	3	3	3	0	0.6752108650842826	0.6752108650842826	6.578375651944196e-32	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LUM	TIMP2	3	3	3	0	0.675185573919751	0.675185573919751	5.973154588925944e-20	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	TIMP1	3	3	3	0	0.6750247085580918	0.6750247085580918	3.882261647745399e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MMP2	MYL9	3	3	3	0	0.6741849699596177	0.6741849699596177	4.2897592667293663e-29	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	SPARC	3	3	3	0	0.6740980538448892	0.6740980538448892	2.923167930039182e-28	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A2	TGFB1	3	3	3	0	0.6718785908926753	0.6718785908926753	1.2100246407467313e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ACTA2	CNN1	3	3	3	0	0.6714723070356873	0.6714723070356873	7.214063914021587e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CFL1	SPARC	3	3	3	0	0.6692421502548083	0.6692421502548083	3.44274816980234e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	MMP2	3	3	3	0	0.6679716996618404	0.6679716996618404	1.3812243688370902e-44	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A2	FLNA	3	3	3	0	0.6671139892970878	0.6671139892970878	2.281007826394255e-52	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CFL1	TIMP1	3	3	3	0	0.666293213828425	0.666293213828425	3.3698528204304795e-19	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ITGA1	ROCK2	3	3	3	0	0.6659977346597064	0.6659977346597064	2.8133207310864293e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	MMP2	3	3	3	0	0.6621975442397976	0.6621975442397976	8.497283362575623e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
TAGLN	THY1	3	3	3	0	0.6616476246757936	0.6616476246757936	5.0985115410204044e-21	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
PLOD2	ROCK1	3	3	3	0	0.6614711579500311	0.6614711579500311	6.741158198662718e-41	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	COL6A1	3	3	3	0	0.6613193144883284	0.6613193144883284	1.504482104761655e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LATS1	SMAD4	3	3	3	0	0.6597018302194595	0.6597018302194595	5.607216737329112e-40	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LATS1	WWTR1	3	3	3	0	0.6588651958370266	0.6588651958370266	1.627272383104221e-27	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
TLN1	ZYX	3	3	3	0	0.6583919789471177	0.6583919789471177	5.611405765190772e-27	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CDC42	ITGB1	3	3	3	0	0.6578474342558849	0.6578474342558849	1.0860616083476212e-17	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ITGB1	ROCK1	3	3	3	0	0.6578310187465116	0.6578310187465116	2.203249140833748e-47	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CDC42	ITGAV	3	3	3	0	0.6577599615574298	0.6577599615574298	2.188095703237166e-39	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ACTB	RAC1	3	3	3	0	0.6569904380857119	0.6569904380857119	7.929874324555065e-27	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
THBS1	THY1	3	3	3	0	0.6560907446983395	0.6560907446983395	2.97698883648228e-27	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ATF3	JUND	3	3	3	0	0.6554331744205161	0.6554331744205161	2.992163914323072e-19	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	COL6A3	3	3	3	0	0.6553043022660426	0.6553043022660426	1.1909631622414688e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	MMP14	3	3	3	0	0.653586919409704	0.653586919409704	1.1487651038228195e-34	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
JUN	JUND	3	3	3	0	0.6534857547515774	0.6534857547515774	2.557554624754945e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LAMA2	THBS1	3	3	3	0	0.653435172422514	0.653435172422514	8.497283362575623e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LATS1	ROCK2	3	3	3	0	0.6527175875767424	0.6527175875767424	5.5309248515123895e-42	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MMP14	MMP2	3	3	3	0	0.651822479429381	0.651822479429381	2.738323174941876e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	TIMP2	3	3	3	0	0.6510842443941034	0.6510842443941034	1.2199854777711377e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	ZYX	3	3	3	0	0.6506025619949669	0.6506025619949669	9.699107693066509e-37	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	THBS1	3	3	3	0	0.6501411067052477	0.6501411067052477	4.0612898702935625e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ITGA1	TGFBR1	3	3	3	0	0.6500589433072553	0.6500589433072553	4.127776712643485e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CFL1	ZYX	3	3	3	0	0.6499597820020354	0.6499597820020354	7.111742085037319e-40	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A3	DCN	3	3	3	0	0.6499267674061372	0.6499267674061372	4.2310395318934793e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
TGFBR1	YAP1	3	3	3	0	0.6489625398076101	0.6489625398076101	8.227792867081538e-49	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	MYL9	3	3	3	0	0.6487157503661628	0.6487157503661628	5.528909151186653e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CXCL8	THBS1	3	3	3	0	0.6483750583648858	0.6483750583648858	5.95971643544389e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LUM	THY1	3	3	3	0	0.6480239107395895	0.6480239107395895	6.46259459261029e-26	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A3	FLNA	3	3	3	0	0.6452505983638767	0.6452505983638767	1.2199854777711377e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A3	TIMP2	3	3	3	0	0.6452244013384297	0.6452244013384297	1.2199854777711377e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MMP14	TIMP2	3	3	3	0	0.6434358589647411	0.6434358589647411	1.821586241240598e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LUM	THBS1	3	3	3	0	0.6419652532180663	0.6419652532180663	2.5347170138049586e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A1	MYL9	3	3	3	0	0.6416830398075708	0.6416830398075708	2.6822902492564732e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CCL2	THY1	3	3	3	0	0.6415246668810058	0.6415246668810058	2.757185414885545e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MMP2	SPARC	3	3	3	0	0.6414524442693457	0.6414524442693457	1.2639867228643255e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ACTA2	MYL9	3	3	3	0	0.6411183752955903	0.6411183752955903	3.4223645892455427e-46	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MYL9	TIMP1	3	3	3	0	0.6398218602269614	0.6398218602269614	4.0048310244882707e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	TIMP2	3	3	3	0	0.6396563426570928	0.6396563426570928	4.149523308809122e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
DCN	THY1	3	3	3	0	0.639380083116017	0.639380083116017	4.41177339772388e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LOX	LUM	3	3	3	0	0.638189861781411	0.638189861781411	1.1306846565062547e-36	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
DCN	THBS1	3	3	3	0	0.6379999761845223	0.6379999761845223	6.023765893841406e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LUM	VCAN	3	3	3	0	0.6372488271222447	0.6372488271222447	3.9487797207686937e-28	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A1	ZYX	3	3	3	0	0.6371474769362092	0.6371474769362092	4.512566320533977e-37	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
PXN	SMAD3	3	3	3	0	0.6368725171542072	0.6368725171542072	3.100534000877278e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	TIMP1	3	3	3	0	0.6362241045339636	0.6362241045339636	4.9985828522530506e-29	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	TIMP1	3	3	3	0	0.6360854335537879	0.6360854335537879	1.5733519246689167e-25	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MRTFB	ROCK1	3	3	3	0	0.6352002427951794	0.6352002427951794	1.0123738320436964e-34	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MMP14	THY1	3	3	3	0	0.6348110837233117	0.6348110837233117	1.2258604634380637e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	LUM	3	3	3	0	0.6345467319210755	0.6345467319210755	1.298454977555085e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
DCN	MMP2	3	3	3	0	0.6340311268293264	0.6340311268293264	1.447917625457758e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FERMT2	PLOD2	3	3	3	0	0.6324772645195179	0.6324772645195179	6.633824581974064e-41	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	SRC	3	3	3	0	0.6322151966563069	0.6322151966563069	2.1828016821559425e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL5A1	COL6A2	3	3	3	0	0.6317139433336616	0.6317139433336616	1.19530826197222e-41	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
TGFB1	TIMP1	3	3	3	0	0.6310327581895473	0.6310327581895473	2.811358904776975e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ROCK2	SMAD4	3	3	3	0	0.6308767668107503	0.6308767668107503	2.903718683796822e-24	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	MMP14	3	3	3	0	0.6304707950277569	0.6304707950277569	6.639771523213101e-35	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
