accession	gene_a	gene_b	n_pair	rho	p_value	fdr	edge_significant	edge_direction	boundary
GSE135251	ATF3	TIMP1	216	0.2631050619797806	9.093863297498145e-5	1.6125535990202231e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TIMP2	216	0.15328594053275224	0.024253223577488214	0.03215280382229361	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	VCAN	216	0.13961942866669047	0.04035234119959493	0.05193808113467609	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	COL1A1	216	0.4937877326474475	1.1198598186485092e-14	5.464671136902288e-14	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	COL1A2	216	0.4788375665344907	8.853893475710991e-14	3.9651589136458955e-13	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	COL3A1	216	0.4007001750437609	9.77954929675503e-10	2.89944804847352e-9	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	COL5A1	216	0.4353326426844806	2.113160061919384e-11	7.388613685567776e-11	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	COL5A2	216	0.09608830779123351	0.15934793898381286	0.18817470181505536	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	COL6A1	216	0.24842162921682798	2.261735661578566e-4	3.8383313298929295e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	COL6A2	216	0.1603531835339787	0.018358493949780823	0.02471229288084757	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	COL6A3	216	0.2740435108777194	4.4522602825808326e-5	8.127286247638356e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	DCN	216	0.3009550006549256	6.723089065377292e-6	1.344919026743262e-5	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	FN1	216	-0.31547767894354534	2.2338698274979417e-6	4.687137584482288e-6	TRUE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LAMA2	216	0.25649269460222196	1.3798734023948137e-4	2.3861869642497456e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LAMB1	216	0.16712035151645052	0.0139237153071813	0.019023680797602357	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LUM	216	0.3313125900522749	6.277919666238073e-7	1.4114255442977338e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	POSTN	216	-0.21257219066671426	0.0016778630594872306	0.002565636493359755	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	CCL2	216	0.5142499910691958	5.583924564397402e-16	3.1126371011278902e-15	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	CXCL8	216	0.4372076629340058	1.6953197341061253e-11	5.99335123735855e-11	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	IL6	216	0.13737036761412164	0.04371846592232933	0.05596414860756894	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	NFKB1	216	0.316702985270127	2.030082173898048e-6	4.277638936505326e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	NFKBIA	216	0.30699222424653777	4.282873463639425e-6	8.716057436257992e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	RELA	216	0.2610747925076507	1.0348088789031771e-4	1.816917673732869e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ACTA2	ATF3	216	0.41212326891246615	2.896470510554899e-10	9.075607599738684e-10	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	CNN1	216	0.27879460240144843	3.233582291775958e-5	6.000808367738841e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	MYL9	216	0.30848545469700756	3.824932696414098e-6	7.826913148253414e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	MYLK	216	-0.22907274437657033	6.929477279344355e-4	0.0011042154194244305	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	PXN	216	0.2988092261160528	7.872755593526724e-6	1.5643904639562447e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	RHOA	216	0.429213255694876	4.296839351495193e-11	1.4589648444430445e-10	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ROCK1	216	-0.1265911716024244	0.06328475919147368	0.07930576755260454	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ROCK2	216	0.11198275759416043	0.10071010171852	0.12232606207105326	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TAGLN	216	0.4392955381702568	1.3243936090679234e-11	4.749732903203436e-11	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TLN1	216	0.01733171388085116	0.8000641161794325	0.8210264947692867	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	VASP	216	0.469543576370283	3.046151764255889e-13	1.2807031664220851e-12	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	VCL	216	0.27727408042486806	3.58437661519515e-5	6.62153147987023e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ZYX	216	0.33404779766370163	5.005013984883116e-7	1.1343851493656403e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	SERPINE1	216	0.24408483073149237	2.929986192687186e-4	4.89427173600759e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	SMAD2	216	0.21982876671548837	0.0011462252331446768	0.001780137622953385	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	SMAD3	216	0.35980661832124694	5.307607044817197e-8	1.3388963533959763e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	SMAD4	216	0.2653842031936555	7.856292216072786e-5	1.4036952678977586e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TGFB1	216	0.020127650960359133	0.7686599570518715	0.7933580000546939	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TGFBR1	216	0.14684623536836588	0.030976376902756043	0.04051245543960332	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TGFBR2	216	-0.3044689743864537	5.177427092275334e-6	1.0488753161075031e-5	TRUE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	THBS1	216	0.3935579132878457	2.045013741734486e-9	5.910023531938175e-9	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	AMOTL2	ATF3	216	0.12889889138951402	0.05858107741209198	0.07372167718291733	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ANKRD1	ATF3	216	0.35816837990340245	6.158862382849675e-8	1.5397155957124186e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TEAD1	216	-0.17407447099870202	0.01037374513624255	0.014434020577539104	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TEAD2	216	0.22991700306028887	6.611508152004761e-4	0.0010569417794021217	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TEAD3	216	0.4143940747091534	2.2616208875099752e-10	7.161799477114921e-10	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	TEAD4	216	0.22281641839031183	9.763041660464611e-4	0.0015279348410085695	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	WWTR1	216	-0.013099703497302896	0.8481992006984501	0.8646596874699954	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	YAP1	216	0.08517248359708973	0.21247885980095746	0.2448304797448452	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ACTB	ATF3	216	0.48848640731611465	2.3582864182936147e-14	1.1154394976356981e-13	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	CAV1	216	0.16296693220924277	0.016517955175035147	0.022369629923121605	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	CFL1	216	0.4292430250419747	4.2821769553636676e-11	1.4550928543149752e-10	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	FLNA	216	0.20632181854987555	0.002307061523146039	0.0034648603097366514	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	FLNB	216	0.0643756177139523	0.346391470543733	0.38559908152026123	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	PFN1	216	0.3400957382202693	3.0088743021340337e-7	7.019134670338799e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	FERMT2	216	-0.2202991223996475	0.0011177882679599166	0.001739604258083314	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ITGA1	216	-0.21186129865799783	0.0017405368366589992	0.002653619080853243	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ITGA2	216	0.1148698194614306	0.09217827709652276	0.11288425870432642	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ITGA5	216	0.037073554102811414	0.5878925725311398	0.6239458845618111	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ITGAV	216	0.08789935579132878	0.19814738717242056	0.22991894067693808	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ITGB1	216	-0.2405791924171519	3.59983027035806e-4	5.961885073126387e-4	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	ITGB3	216	-0.08072851546219886	0.23740138208423117	0.27186385509261146	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	PARVA	216	-0.03782374164969813	0.580355498710649	0.6172671037977722	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	PARVB	216	0.2373998261470129	4.3276753667572575e-4	7.080641448358796e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	PTK2	216	-0.13448243013134234	0.04838314922786945	0.06163502462266394	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	SRC	216	0.19301849271841767	0.004411349510825238	0.006370205551692978	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	CDC42	216	0.2309398778265995	6.244329856787728e-4	0.0010014702877355318	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LATS1	216	0.02509198728253492	0.7138477906316031	0.7445294055524663	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LATS2	216	0.1404613058026411	0.03914975434601584	0.05047752040281858	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LIMD1	216	0.04972314507198228	0.46723361257383755	0.5078378968213693	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LMNA	216	0.33887995808475924	3.3358685288855035e-7	7.72945146936885e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	MRTFA	216	0.28812203050762686	1.6963699910444204e-5	3.249374521670243e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	MRTFB	216	-0.07781826408983197	0.25479421191201307	0.29029246138993064	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	RAC1	216	0.5310125150335202	4.103192908440395e-17	2.5235201564994993e-16	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	SRF	216	0.5393467414472665	1.0607695046012225e-17	6.996064753389155e-17	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	FOSB	216	0.32321264584813364	1.2125405860419126e-6	2.6294287113536374e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	FOSL1	216	0.26731544434402765	6.933219334511023e-5	1.2462489665294573e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	FOSL2	216	0.2532776051155646	1.6833267306428553e-4	2.884134248779873e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	JUN	216	0.560931899641577	2.667076192322723e-19	2.0149738068901792e-18	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	JUNB	216	0.5754950642422509	1.902354887777814e-20	1.6026442592316866e-19	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	JUND	216	0.3491087057478655	1.381160364835095e-7	3.349745262894459e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	MAFF	216	0.5049536193572202	2.2354645605982976e-15	1.1812247648605205e-14	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	MAFG	216	0.16053060884268686	0.01822814231535674	0.024551630599718807	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	LOX	216	0.28585054508505725	1.989152703719521e-5	3.7697652046297376e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	LOXL2	216	0.3216530323056955	1.3734024807521044e-6	2.9595762917751674e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	MMP14	216	0.18658593219733502	0.005949955484917203	0.008493142979589294	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	MMP2	216	0.46463044332511694	5.766890106659921e-13	2.345096933172728e-12	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	PLOD2	216	0.01308184188904369	0.8484036899576831	0.8646707317190265	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	SPARC	216	0.29848771716738703	8.060315913645405e-6	1.599524913530077e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	THY1	216	0.41328665499708256	2.552236329692897e-10	8.025165642309002e-10	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	TIMP1	216	0.41205658557496516	2.917509406452588e-10	9.135118863822443e-10	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	TIMP2	216	0.27819097631550743	3.3687778608174975e-5	6.238736270655382e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	VCAN	216	0.20140987627859344	0.0029445849521919755	0.004347067380296133	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	COL1A1	FOS	216	0.3376844211052763	3.690469389591058e-7	8.50255202503822e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	COL1A2	FOS	216	0.4034818228366615	7.302490598690446e-10	2.1912379383839272e-09	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	COL3A1	FOS	216	0.31872372855118536	1.7321943934771544e-6	3.6935281599214393e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	COL5A1	FOS	216	0.3184939091915836	1.763843006343497e-6	3.7520528934367384e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	COL5A2	FOS	216	-0.007831719834720583	0.9088920373395483	0.9204361412386217	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	COL6A1	FOS	216	0.15638671572655066	0.021491626026135364	0.028739176462022883	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	COL6A2	FOS	216	0.1740482739732552	0.010385455780616167	0.014439039316740067	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	COL6A3	FOS	216	0.25173793448362086	1.8497562748726902e-4	3.157171929398533e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	DCN	FOS	216	0.2855070910584788	2.0373779833265308e-5	3.859521720641901e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FN1	FOS	216	-0.15593660319841865	0.02187481474515867	0.02919911744009969	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	LAMA2	216	0.24409673847033184	2.9279228541561936e-4	4.892655517891993e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	LAMB1	216	0.15667131068481405	0.021252351580970132	0.028453298293562714	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	LUM	216	0.3546112718655854	8.482483533303678e-8	2.0994616949113593e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	POSTN	216	-0.054704152228533316	0.42375851960751854	0.46465662820421666	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	CCL2	FOS	216	0.47562843091725304	1.3622587401044158e-13	5.945733406223085e-13	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	CXCL8	FOS	216	0.41593195394162674	1.9107010304282816e-10	6.120000072354575e-10	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	IL6	216	0.19798467371621178	0.0034794452449631056	0.005088674424749514	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	NFKB1	216	0.1903690208266352	0.004995464303448816	0.00717886968615995	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	NFKBIA	216	0.3846175829671703	5.024729305576529e-9	1.4074916153951822e-8	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	RELA	216	0.1705319186939592	0.012067361678231267	0.016624736159612033	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ACTA2	FOS	216	0.3983698305528762	1.246488225806663e-9	3.6543466370497377e-9	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	CNN1	FOS	216	0.35541102857922824	7.896132437633111e-8	1.9586795185573245e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	MYL9	216	0.3775277152621488	1.0057686505412894e-8	2.7282849481572643e-8	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	MYLK	216	-0.26228223722597316	9.58393596694501e-5	1.6907259617704256e-4	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	PXN	216	0.22379047142738062	9.26124031586289e-4	0.0014529669012764515	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	RHOA	216	0.29697067123923837	9.004002049050629e-6	1.7781012449805863e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	ROCK1	216	-0.10465116279069767	0.1251919815688413	0.14994157663757413	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	ROCK2	216	0.019434620559901878	0.7764112364740525	0.8002484235587822	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	TAGLN	216	0.38928065349670743	3.1545562850874415e-9	9.000059944354906e-9	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	TLN1	216	0.009700044058633705	0.8872876899398705	0.9008048057256757	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	VASP	216	0.4557163100298884	1.7893329020248893e-12	6.953325855127181e-12	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	VCL	216	0.1545100560854499	0.02312851185618837	0.03074391349743408	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	ZYX	216	0.20402719727550933	0.002587363972687259	0.003854714760776981	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	SERPINE1	216	0.16716202860238866	0.013899606058186496	0.019002370192836102	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	SMAD2	216	0.1653984924802629	0.014952352886924349	0.020317180657369815	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	SMAD3	216	0.1807273246883149	0.007751927761000027	0.010942888856422738	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	SMAD4	216	0.19176818014027314	0.004678873198472393	0.006741261320161096	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	TGFB1	216	0.16554614844187235	0.014861608824779828	0.02020597834555268	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	TGFBR1	216	0.12795460769954392	0.060469681786318084	0.07594855954315337	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	TGFBR2	216	-0.102163636147132	0.1344715610506912	0.16045310531569648	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	THBS1	216	0.3761178389835554	1.1523300390814187e-8	3.103228965318779e-8	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	AMOTL2	FOS	216	0.14785363007418517	0.02983000192719484	0.03912777867359723	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ANKRD1	FOS	216	0.2155341550823976	0.0014383041426614868	0.0022160207028928706	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	FOS	TEAD1	216	-0.16676788244680216	0.0141290809073394	0.01927477734533163	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
